bot,winrate_j1,winrate_j2,winrate_global
AS2LMoveBot,0.235,0.941,0.588
ASAggressiveBot,0.235,0.294,0.265
ASBot,0.176,0.941,0.559
ASCenterBot,0.176,0.941,0.559
ASGigaSmartBot,0.176,1.0,0.588
ASLAggressiveBot,0.235,1.0,0.618
ASLCenterBot,0.235,1.0,0.618
ASLGigaSmartBot,0.235,1.0,0.618
ASLMoveBot,0.235,1.0,0.618
ASLOpenSpacesBot,0.176,1.0,0.588
ASLSmartBot,0.118,1.0,0.559
ASLStallBot,0.412,1.0,0.706
ASOpenSpacesBot,0.235,1.0,0.618
ASStallBot,0.235,1.0,0.618
AStarBot,0.118,0.235,0.176
RandomBot,0.059,0.176,0.118
RandomMoveBot,0.059,0.118,0.088
GLOBAL,0.197,0.803,
