bot,winrate_j1,winrate_j2,winrate_global
AS2LMoveBot,0.471,0.471,0.471
ASAggressiveBot,0.412,0.353,0.382
ASBot,0.588,0.471,0.529
ASCenterBot,0.647,0.412,0.529
ASGigaSmartBot,0.706,0.529,0.618
ASLAggressiveBot,0.647,0.529,0.588
ASLCenterBot,0.824,0.529,0.676
ASLGigaSmartBot,0.706,0.647,0.676
ASLMoveBot,0.765,0.765,0.765
ASLOpenSpacesBot,0.647,0.647,0.647
ASLSmartBot,0.765,0.588,0.676
ASLStallBot,0.412,0.471,0.441
ASOpenSpacesBot,0.941,0.529,0.735
ASStallBot,0.529,0.471,0.5
AStarBot,0.059,0.176,0.118
RandomBot,0.059,0.088,0.074
RandomMoveBot,0.088,0.059,0.074
GLOBAL,0.545,0.455,
