bot,winrate_j1,winrate_j2,winrate_global
AS2LMoveBot,0.235,0.176,0.206
ASAggressiveBot,0.235,1.0,0.618
ASBot,0.235,1.0,0.618
ASCenterBot,0.235,1.0,0.618
ASGigaSmartBot,0.235,1.0,0.618
ASLAggressiveBot,0.235,1.0,0.618
ASLCenterBot,0.235,1.0,0.618
ASLGigaSmartBot,0.235,1.0,0.618
ASLMoveBot,0.235,1.0,0.618
ASLOpenSpacesBot,0.235,1.0,0.618
ASLSmartBot,0.235,1.0,0.618
ASLStallBot,0.235,1.0,0.618
ASOpenSpacesBot,0.235,1.0,0.618
ASStallBot,0.235,1.0,0.618
AStarBot,0.059,0.176,0.118
RandomBot,0.059,0.118,0.088
RandomMoveBot,0.118,0.0,0.059
GLOBAL,0.208,0.792,
