bot,winrate_j1,winrate_j2,winrate_global
AS2LMoveBot,0.235,0.294,0.265
ASAggressiveBot,0.353,0.353,0.353
ASBot,0.588,0.529,0.559
ASCenterBot,0.588,0.647,0.618
ASGigaSmartBot,0.824,0.882,0.853
ASLAggressiveBot,0.353,0.529,0.441
ASLCenterBot,0.765,0.647,0.706
ASLGigaSmartBot,0.765,0.706,0.735
ASLMoveBot,0.647,0.765,0.706
ASLOpenSpacesBot,0.882,0.706,0.794
ASLSmartBot,0.765,0.765,0.765
ASLStallBot,0.529,0.353,0.441
ASOpenSpacesBot,0.706,0.647,0.676
ASStallBot,0.294,0.353,0.324
AStarBot,0.118,0.176,0.147
RandomBot,0.0,0.059,0.029
RandomMoveBot,0.059,0.118,0.088
GLOBAL,0.498,0.502,
